Match,Result
Man Utd v Tottenham,H
Arsenal v Swansea,H
West Brom v Man City,A
Crystal Palace v West Ham,D
Watford v Stoke,A
Liverpool v Huddersfield,H
Bournemouth v Chelsea,A
Sheff Wed v Barnsley,D
QPR v Wolves,H
Burton v Ipswich,A
Norwich v Derby,A
Reading v Middlesbrough,A
Cardiff v Millwall,D
Preston v Brentford,A
Sunderland v Bristol City,A
Fulham v Bolton,D
Hull v Nottm Forest,A
Northampton v Blackpool,H
Charlton v AFC Wimbledon,H
Wigan v Blackburn,D
Bristol Rovers v MK Dons,H
Peterborough v Shrewsbury,H
Fleetwood v Oxford Utd,H
Oldham v Scunthorpe,A
Rotherham v Gillingham,A
Walsall v Southend,A
Plymouth v Rochdale,D
Portsmouth v Bradford,A
Bury v Doncaster,A
Mansfield v Exeter,D
Grimsby v Cambridge Utd,D
Accrington v Barnet,H
Wycombe v Cheltenham,D
Lincoln v Crawley,D
Yeovil v Stevenage,H
Forest Green v Morecambe,D
Port Vale v Swindon,A
Luton v Coventry,A
Colchester v Crewe,H
Chesterfield v Carlisle,D
Notts County v Newport,H
